Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
I,0.427,0.327,0.12,0.343,0.14,0.053,0.108,12
F,0.626,0.488,0.145,1.199,0.394,0.284,0.334,14
I,0.181,0.145,0.042,0.039,0.017,0.007,0.014,4
I,0.535,0.413,0.135,0.816,0.399,0.144,0.239,12
M,0.476,0.347,0.12,0.526,0.212,0.157,0.144,10
I,0.472,0.38,0.12,0.65,0.382,0.129,0.131,7
I,0.36,0.269,0.087,0.213,0.075,0.057,0.062,6
F,0.56,0.434,0.141,0.965,0.447,0.214,0.25,7
M,0.656,0.533,0.168,1.379,0.608,0.305,0.391,9
M,0.614,0.51,0.167,1.182,0.543,0.242,0.33,12
M,0.478,0.359,0.134,0.535,0.202,0.113,0.163,10
M,0.575,0.477,0.134,1.084,0.47,0.202,0.335,12
M,0.562,0.482,0.155,0.973,0.484,0.231,0.247,8
I,0.562,0.416,0.156,0.688,0.294,0.151,0.214,10
F,0.342,0.287,0.063,0.208,0.073,0.049,0.067,10
F,0.597,0.434,0.152,0.85,0.476,0.183,0.237,8
I,0.21,0.15,0.051,0.04,0.017,0.013,0.016,4
F,0.643,0.508,0.166,1.505,0.704,0.319,0.425,11
M,0.593,0.457,0.19,1.056,0.509,0.228,0.259,10
M,0.662,0.54,0.174,1.278,0.513,0.296,0.357,16
M,0.515,0.417,0.139,0.685,0.279,0.151,0.188,10
I,0.451,0.328,0.111,0.405,0.174,0.073,0.136,10
M,0.67,0.586,0.181,1.388,0.602,0.256,0.442,11
M,0.458,0.423,0.129,0.741,0.439,0.172,0.147,10
I,0.301,0.223,0.071,0.102,0.429,0.015,0.038,5
I,0.449,0.353,0.105,0.394,0.158,0.088,0.11,6
I,0.414,0.328,0.126,0.411,0.153,0.078,0.157,13
F,0.668,0.525,0.201,1.612,0.723,0.384,0.432,11
M,0.546,0.469,0.185,1.051,0.378,0.177,0.39,19
F,0.559,0.426,0.109,0.946,0.461,0.174,0.22,8
I,0.489,0.393,0.119,0.523,0.234,0.101,0.153,8
M,0.584,0.482,0.172,1.165,0.547,0.244,0.323,9
I,0.178,0.12,0.034,0.025,0.01,0.006,0.009,4
F,0.71,0.54,0.2,1.442,0.48,0.326,0.54,20
F,0.5,0.41,0.121,0.802,0.296,0.175,0.229,13
I,0.408,0.325,0.101,0.371,0.169,0.076,0.096,8
F,0.547,0.523,0.217,1.243,0.496,0.282,0.339,12
M,0.59,0.5,0.166,1.042,0.494,0.257,0.306,10
M,0.63,0.483,0.156,1.257,0.654,0.268,0.289,9
M,0.689,0.51,0.178,1.573,0.86,0.32,0.409,11
I,0.419,0.323,0.121,0.36,0.156,0.087,0.091,7
I,0.255,0.191,0.061,0.094,0.046,0.024,0.027,4
M,0.594,0.437,0.156,0.971,0.521,0.207,0.24,8
I,0.496,0.414,0.144,0.689,0.25,0.128,0.233,10
I,0.264,0.185,0.068,0.078,0.028,0.019,0.024,6
I,0.411,0.339,0.12,0.338,0.131,0.08,0.104,6
M,0.456,0.353,0.121,0.456,0.184,0.096,0.138,8
M,0.52,0.419,0.13,0.65,0.27,0.157,0.185,7
M,0.683,0.513,0.166,1.492,0.734,0.354,0.402,10
F,0.548,0.422,0.131,0.78,0.377,0.175,0.181,9
I,0.389,0.261,0.091,0.191,0.087,0.042,0.06,5
I,0.616,0.455,0.128,0.819,0.448,0.15,0.251,9
F,0.568,0.444,0.171,0.939,0.305,0.202,0.407,14
F,0.604,0.453,0.135,0.833,0.385,0.177,0.252,10
I,0.398,0.334,0.101,0.319,0.109,0.073,0.097,8
I,0.349,0.261,0.103,0.211,0.091,0.047,0.061,6
F,0.583,0.521,0.178,1.284,0.608,0.301,0.334,9
I,0.371,0.251,0.082,0.186,0.075,0.051,0.061,7
I,0.422,0.365,0.119,0.38,0.141,0.093,0.121,9
F,0.389,0.294,0.158,0.375,0.165,0.074,0.107,7
M,0.493,0.399,0.136,0.546,0.222,0.099,0.185,12
I,0.473,0.348,0.123,0.365,0.121,0.083,0.142,6
M,0.388,0.317,0.103,0.289,0.102,0.078,0.104,10
M,0.597,0.437,0.148,1.01,0.469,0.205,0.252,11
I,0.447,0.335,0.118,0.392,0.169,0.083,0.127,8
F,0.647,0.509,0.191,1.601,0.732,0.305,0.463,9
F,0.553,0.477,0.181,1.026,0.416,0.265,0.29,17
M,0.512,0.408,0.131,0.767,0.291,0.162,0.197,9
I,0.273,0.234,0.073,0.097,0.041,0.018,0.034,7
M,0.566,0.454,0.143,0.701,0.339,0.167,0.216,9
M,0.506,0.391,0.125,0.558,0.254,0.132,0.172,10
I,0.405,0.328,0.106,0.316,0.139,0.075,0.099,8
M,0.452,0.362,0.13,0.539,0.208,0.133,0.146,12
I,0.46,0.356,0.121,0.476,0.206,0.114,0.137,9
I,0.521,0.387,0.136,0.607,0.225,0.133,0.174,10
M,0.642,0.517,0.19,1.289,0.591,0.235,0.407,11
I,0.346,0.24,0.091,0.168,0.059,0.039,0.056,9
F,0.65,0.503,0.168,1.253,0.532,0.276,0.414,20
I,0.323,0.279,0.105,0.176,0.077,0.041,0.063,6
I,0.363,0.273,0.086,0.208,0.08,0.047,0.069,7
I,0.461,0.338,0.132,0.402,0.165,0.097,0.124,7
I,0.439,0.352,0.115,0.371,0.16,0.081,0.108,7
F,0.399,0.315,0.113,0.323,0.128,0.067,0.096,10
I,0.368,0.304,0.09,0.257,0.115,0.062,0.074,9
F,0.669,0.538,0.175,1.584,0.641,0.27,0.457,18
F,0.5,0.368,0.129,0.713,0.164,0.138,0.213,22
M,0.422,0.307,0.128,0.674,0.276,0.164,0.188,9
F,0.613,0.454,0.175,0.979,0.43,0.211,0.322,10
I,0.467,0.36,0.136,0.402,0.137,0.063,0.171,11
M,0.6,0.503,0.173,1.018,0.386,0.28,0.273,11
M,0.541,0.442,0.126,0.939,0.392,0.241,0.277,11
F,0.619,0.42,0.143,0.867,0.358,0.234,0.225,11
M,0.59,0.441,0.166,1.01,0.452,0.237,0.236,9
M,0.37,0.296,0.097,0.265,0.097,0.059,0.088,9
M,0.373,0.3,0.125,0.294,0.116,0.066,0.086,9
M,0.5,0.452,0.146,0.935,0.354,0.192,0.244,14
I,0.375,0.279,0.092,0.229,0.096,0.057,0.067,7
M,0.577,0.45,0.139,0.856,0.48,0.189,0.208,7
M,0.438,0.334,0.096,0.377,0.176,0.077,0.104,7
M,0.676,0.52,0.2,1.504,0.759,0.403,0.385,12
F,0.34,0.263,0.082,0.213,0.099,0.021,0.051,6
M,0.548,0.457,0.171,0.886,0.301,0.181,0.333,16
I,0.601,0.431,0.172,0.933,0.376,0.211,0.249,13
F,0.783,0.638,0.187,2.618,0.945,0.588,0.602,22
M,0.632,0.479,0.173,1.445,0.609,0.306,0.49,11
F,0.471,0.402,0.148,0.743,0.243,0.181,0.263,11
F,0.681,0.562,0.216,1.651,0.605,0.438,0.439,15
I,0.309,0.229,0.077,0.121,0.052,0.026,0.04,6
M,0.671,0.519,0.173,1.537,0.663,0.365,0.41,10
I,0.514,0.413,0.141,0.752,0.34,0.177,0.234,8
I,0.459,0.358,0.124,0.518,0.274,0.113,0.142,8
I,0.352,0.29,0.095,0.22,0.096,0.046,0.083,11
I,0.196,0.13,0.042,0.032,0.013,0.005,0.009,4
F,0.491,0.431,0.131,0.68,0.256,0.155,0.238,11
I,0.52,0.402,0.147,0.69,0.306,0.134,0.223,10
F,0.529,0.391,0.123,0.607,0.273,0.125,0.191,12
I,0.556,0.434,0.136,0.782,0.297,0.206,0.288,12
M,0.745,0.6,0.213,2.563,0.882,0.46,0.67,17
I,0.373,0.277,0.087,0.195,0.066,0.036,0.06,7
M,0.384,0.27,0.106,0.225,0.091,0.06,0.077,9
F,0.618,0.474,0.14,1.317,0.598,0.255,0.351,14
I,0.444,0.321,0.119,0.399,0.189,0.072,0.108,7
F,0.599,0.456,0.145,0.841,0.355,0.205,0.194,7
I,0.441,0.338,0.101,0.405,0.209,0.089,0.092,6
I,0.549,0.386,0.126,0.67,0.37,0.136,0.17,9
M,0.575,0.493,0.178,1.17,0.6,0.233,0.333,10
F,0.641,0.469,0.145,1.074,0.344,0.228,0.362,15
F,0.639,0.53,0.187,1.406,0.551,0.304,0.433,11
F,0.548,0.451,0.159,0.657,0.33,0.177,0.243,8
F,0.592,0.48,0.157,0.849,0.304,0.269,0.264,10
M,0.519,0.407,0.124,0.568,0.232,0.109,0.168,7
I,0.484,0.381,0.13,0.602,0.293,0.138,0.163,8
M,0.714,0.514,0.154,1.429,0.73,0.3,0.309,11
M,0.433,0.358,0.119,0.531,0.242,0.09,0.162,9
F,0.52,0.402,0.127,0.601,0.225,0.209,0.165,15
M,0.665,0.524,0.196,1.633,0.719,0.344,0.434,11
I,0.504,0.411,0.145,0.604,0.291,0.149,0.163,8
M,0.699,0.562,0.189,1.659,0.87,0.318,0.477,13
M,0.408,0.325,0.13,0.419,0.157,0.093,0.148,9
F,0.659,0.497,0.185,1.539,0.66,0.313,0.403,11
M,0.43,0.33,0.118,0.454,0.199,0.101,0.125,9
I,0.378,0.293,0.078,0.137,0.06,0.031,0.042,7
I,0.247,0.197,0.061,0.089,0.043,0.014,0.025,4
M,0.603,0.486,0.138,0.942,0.373,0.187,0.308,9
M,0.634,0.466,0.175,1.095,0.458,0.267,0.319,12
I,0.528,0.366,0.133,0.52,0.228,0.131,0.161,8
M,0.674,0.522,0.216,1.692,0.692,0.305,0.483,11
I,0.512,0.425,0.133,0.754,0.378,0.209,0.218,9
F,0.565,0.46,0.148,1.06,0.373,0.199,0.191,14
F,0.751,0.589,0.224,1.892,0.777,0.465,0.577,10
F,0.773,0.594,0.203,2.035,1.0,0.479,0.488,11
I,0.401,0.289,0.112,0.311,0.167,0.044,0.091,7
